"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
362 0.127322834718183 2 10 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.661371391452784
-37 0.416654213639897 2 314 "GO:0005739" "mitochondrion" 0.854501514641501
-361 0.282230416862689 3 5 "GO:0005740" "mitochondrial envelope" 0.797666242740119
178 0.182550425905583 2 32 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.734342138613162
-112 0.0566012232420484 2 174 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 0.482263011888732
-481 0.0103727385988707 4 16 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 0.204440285444821
-848 0.000700217041191745 2 9 "GO:0005751" "mitochondrial respiratory chain complex IV" 0.0201447056465933
-550 0.100967653060829 3 5 "GO:0005753;GO:0045259" "proton-transporting ATP synthase complex" 0.580952342226924
-113 0.536148074200802 2 17 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.907327510185973
16 0.848527065923344 3 80 "GO:0005759" "mitochondrial matrix" 0.961664008046457
-16 0.956070295479797 5 7 "GO:0005761;GO:0000313" "mitochondrial ribosome" 0.990288392266293
-210 0.210734339975354 5 20 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 0.757833107219062
-117 0.560914049230819 2 14 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.920435358605676
-6 0.944714920484137 5 83 "GO:0005765;GO:0098852;GO:0005774;GO:0044437" "vacuolar part" 0.989701345269096
44 0.599968604301988 2 83 "GO:0005768" "endosome" 0.920435358605676
142 0.239340171539198 2 39 "GO:0005769" "early endosome" 0.797666242740119
-118 0.416991288097649 2 27 "GO:0005770" "late endosome" 0.854501514641501
71 0.425768595025222 2 73 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.860768120326577
34 0.863906345259363 3 14 "GO:0005776" "autophagosome" 0.970273192573579
10 0.930986210195103 2 41 "GO:0005777;GO:0042579" "microbody" 0.989172848332297
-73 0.758730063869426 3 10 "GO:0005778;GO:0031903" "microbody membrane" 0.942418509866718
-173 0.445618297602316 4 11 "GO:0005782;GO:0031907" "microbody lumen" 0.870657269986586
163 0.0139977669301138 2 135 "GO:0005783" "endoplasmic reticulum" 0.253389172880503
154 0.645762449750915 4 5 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.920435358605676
27 0.826580928447152 3 38 "GO:0005788" "endoplasmic reticulum lumen" 0.956114957618977
51 0.425892836408131 4 147 "GO:0005789" "endoplasmic reticulum membrane" 0.860768120326577
418 0.0310528885562346 2 15 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.3739115121216
138 0.0520770964290738 2 117 "GO:0005794" "Golgi apparatus" 0.482263011888732
370 0.162710830939911 2 8 "GO:0005795" "Golgi stack" 0.728981815446303
-331 0.280359986981862 3 6 "GO:0005796" "Golgi lumen" 0.797666242740119
-207 0.285326971902187 2 15 "GO:0005798" "Golgi-associated vesicle" 0.797666242740119
377 0.155158482351616 2 8 "GO:0005801" "cis-Golgi network" 0.714121792951104
153 0.291310518902748 2 27 "GO:0005802" "trans-Golgi network" 0.797666242740119
-67 0.619432795932638 2 31 "GO:0005811" "lipid droplet" 0.920435358605676
-16 0.853780523826004 2 78 "GO:0005813" "centrosome" 0.962760631063643
-33 0.766030018715193 4 46 "GO:0005814;GO:0044450" "microtubule organizing center part" 0.942418509866718
35 0.620667550786556 4 118 "GO:0005815" "microtubule organizing center" 0.920435358605676
83 0.535467922902568 3 32 "GO:0005819" "spindle" 0.907327510185973
16 0.950798951555368 4 8 "GO:0005832;GO:0101031" "chaperonin-containing T-complex" 0.990288392266293
-85 0.749608188697464 2 8 "GO:0005838" "proteasome regulatory particle" 0.942418509866718
224 0.282116632021073 2 13 "GO:0005839" "proteasome core complex" 0.797666242740119
-444 4.92422347281096e-07 2 74 "GO:0005840" "ribosome" 4.60414894707825e-05
547 0.0740557575809416 2 6 "GO:0005844" "polysome" 0.532727807415668
270 0.378396419972865 5 6 "GO:0005849" "mRNA cleavage factor complex" 0.828069817921104
-119 0.503545387323324 2 18 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.896790356471063
45 0.512550392737283 4 125 "GO:0005856" "cytoskeleton" 0.899971112130253
267 0.314106941036734 6 8 "GO:0005868" "cytoplasmic dynein complex" 0.80148218945157
395 0.0958721084083951 2 10 "GO:0005871" "kinesin complex" 0.576412843690828
173 0.014905245463559 5 117 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular fiber" 0.253389172880503
95 0.335745516446138 3 59 "GO:0005875" "microtubule associated complex" 0.808394221839259
299 0.207704482031737 2 10 "GO:0005876" "spindle microtubule" 0.754189090095822
272 0.304990033988869 2 8 "GO:0005881" "cytoplasmic microtubule" 0.797666242740119
329 0.187731656741486 5 9 "GO:0005882" "intermediate filament" 0.734342138613162
107 0.637468813940325 5 11 "GO:0005884" "actin filament" 0.920435358605676
-12 0.962665015346713 4 8 "GO:0005885" "Arp2/3 protein complex" 0.990288392266293
54 0.494340726155461 3 93 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.894792185051127
-213 0.487382404101566 5 6 "GO:0005902" "microvillus" 0.891845471502011
295 0.378609462204569 2 5 "GO:0005903;GO:0098862" "brush border" 0.828069817921104
20 0.920332169441678 2 14 "GO:0005905" "clathrin-coated pit" 0.989086002240162
151 0.0595029166945846 2 91 "GO:0005911" "cell-cell junction" 0.494535352083881
41 0.559930609923269 2 117 "GO:0005912;GO:0070161" "adherens junction" 0.920435358605676
96 0.339805206042992 3 57 "GO:0005913" "cell-cell adherens junction" 0.808394221839259
211 0.457391012243268 2 7 "GO:0005918" "septate junction" 0.870657269986586
-30 0.920877759097574 2 6 "GO:0005923" "bicellular tight junction" 0.989086002240162
-5 0.959522375991181 2 69 "GO:0005925;GO:0005924;GO:0030055" "cell-substrate junction" 0.990288392266293
53 0.572117039212015 2 65 "GO:0005929" "cilium" 0.920435358605676
347 0.0567368249280861 3 17 "GO:0005930" "axoneme" 0.482263011888732
-39 0.74090806236134 2 41 "GO:0005938;GO:0099568" "cytoplasmic region" 0.942418509866718
196 0.387472337896626 2 11 "GO:0008021;GO:0070382" "exocytic vesicle" 0.837656961695596
103 0.531058351532775 2 21 "GO:0008023" "transcription elongation factor complex" 0.907327510185973
190 0.570139046045187 2 5 "GO:0008180" "COP9 signalosome" 0.920435358605676
-7 0.971419663140538 3 13 "GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.992652879821205
-149 0.550941811366443 4 9 "GO:0008540;GO:0031597" "cytosolic proteasome complex" 0.920435358605676
363 0.199797334603673 2 7 "GO:0009897" "external side of plasma membrane" 0.742511897824458
308 0.315021074463585 3 6 "GO:0009898;GO:0098562" "cytoplasmic side of plasma membrane" 0.80148218945157
64 0.820492091876001 3 7 "GO:0009925" "basal plasma membrane" 0.956114957618977
69 0.550631185141685 2 43 "GO:0009986" "cell surface" 0.920435358605676
238 0.370504791520102 4 8 "GO:0010494" "cytoplasmic stress granule" 0.828069817921104
228 0.145327938065273 2 23 "GO:0012505" "endomembrane system" 0.679408110455151
-227 0.458608241142667 5 6 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.870657269986586
106 0.5277826577762 3 20 "GO:0014069;GO:0099572" "postsynaptic density" 0.907327510185973
-184 0.273610101159249 4 20 "GO:0015030" "Cajal body" 0.797666242740119
-191 0.140443052494146 5 34 "GO:0015629" "actin cytoskeleton" 0.671927703923253
157 0.40223270109085 2 16 "GO:0015630" "microtubule cytoskeleton" 0.854501514641501
-482 1.62704012553775e-07 2 68 "GO:0015934" "large ribosomal subunit" 2.02837668983706e-05
-432 7.43245371983239e-05 4 48 "GO:0015935" "small ribosomal subunit" 0.00277973769121731
231 0.28565581912075 2 12 "GO:0016234" "inclusion body" 0.797666242740119
-63 0.772732489404624 3 12 "GO:0016323" "basolateral plasma membrane" 0.94754738045026
-46 0.716165796751011 3 35 "GO:0016324" "apical plasma membrane" 0.940284321143608
273 0.250531943791182 2 10 "GO:0016328" "lateral plasma membrane" 0.797666242740119
80 0.604393570187512 4 24 "GO:0016363" "nuclear matrix" 0.920435358605676
143 0.528165408294289 4 11 "GO:0016459" "myosin complex" 0.907327510185973
-354 0.135821479572849 2 10 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.669717229103211
104 0.695603830902602 4 8 "GO:0016581;GO:0090545;GO:0090568" "nuclear transcriptional repressor complex" 0.92912797413419
196 0.408059387792444 5 10 "GO:0016592" "mediator complex" 0.854501514641501
-195 0.524545179107697 6 6 "GO:0016593" "Cdc73/Paf1 complex" 0.907327510185973
37 0.63298861020965 2 96 "GO:0016604" "nuclear body" 0.920435358605676
-38 0.820035108919056 4 20 "GO:0016605" "PML body" 0.956114957618977
42 0.677491369288262 4 57 "GO:0016607" "nuclear speck" 0.920435358605676
142 0.386487067350124 2 21 "GO:0017053" "transcriptional repressor complex" 0.837656961695596
1 0.998807694815533 2 5 "GO:0017119" "Golgi transport complex" 0.998807694815533
-296 0.334457400295518 2 6 "GO:0019005" "SCF ubiquitin ligase complex" 0.808394221839259
158 0.527665890168639 2 9 "GO:0019773" "proteasome core complex, alpha-subunit complex" 0.907327510185973
300 0.031858018733686 2 29 "GO:0019898" "extrinsic component of membrane" 0.3739115121216
-108 0.683759996139801 2 8 "GO:0022624" "proteasome accessory complex" 0.923199417170706
-549 1.06908016729044e-06 4 45 "GO:0022625" "cytosolic large ribosomal subunit" 7.99671965133249e-05
-296 0.190457720442451 2 11 "GO:0022626" "cytosolic ribosome" 0.734342138613162
-621 2.6210715762538e-05 2 26 "GO:0022627" "cytosolic small ribosomal subunit" 0.00111671183655654
-26 0.916904864702715 2 9 "GO:0030014" "CCR4-NOT complex" 0.989086002240162
-279 0.361500937224057 2 6 "GO:0030015" "CCR4-NOT core complex" 0.824398478791447
-21 0.895934694476906 4 22 "GO:0030018" "Z disc" 0.982776716085168
334 0.0209853095861211 2 27 "GO:0030027" "lamellipodium" 0.313940231408372
77 0.171525133046189 1 190 "GO:0030054" "cell junction" 0.728981815446303
105 0.62817323034255 3 12 "GO:0030119" "AP-type membrane coat adaptor complex" 0.920435358605676
206 0.321449585504667 2 13 "GO:0030120;GO:0030117" "membrane coat" 0.808394221839259
391 0.243542540745175 2 5 "GO:0030123" "AP-3 adaptor complex" 0.797666242740119
146 0.633366936540557 2 6 "GO:0030126" "COPI vesicle coat" 0.920435358605676
238 0.370125959283572 2 8 "GO:0030131" "clathrin adaptor complex" 0.828069817921104
69 0.664812071352049 2 22 "GO:0030133" "transport vesicle" 0.920435358605676
-162 0.495245941993538 2 10 "GO:0030134" "COPII-coated ER to Golgi transport vesicle" 0.894792185051127
-44 0.763750596426873 2 27 "GO:0030135" "coated vesicle" 0.942418509866718
49 0.794206461258616 6 16 "GO:0030136" "clathrin-coated vesicle" 0.956099174220366
78 0.641151165139263 2 20 "GO:0030139" "endocytic vesicle" 0.920435358605676
505 0.00923771637525293 2 15 "GO:0030141" "secretory granule" 0.204440285444821
390 0.244874001465027 4 5 "GO:0030173;GO:0031228" "intrinsic component of Golgi membrane" 0.797666242740119
-109 0.586379230362705 5 14 "GO:0030175" "filopodium" 0.920435358605676
251 0.0892368131901925 4 26 "GO:0030176;GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 0.547124067756262
174 0.257392851183514 4 24 "GO:0030286" "dynein complex" 0.797666242740119
156 0.289259852997125 3 26 "GO:0030424" "axon" 0.797666242740119
-102 0.418111703688221 3 36 "GO:0030425" "dendrite" 0.854501514641501
176 0.3080158496095 3 19 "GO:0030426;GO:0030427" "site of polarized growth" 0.799985609402451
43 0.76503179386428 2 28 "GO:0030496" "midbody" 0.942418509866718
-216 0.299406553241655 2 13 "GO:0030658" "transport vesicle membrane" 0.797666242740119
26 0.814287165598113 4 46 "GO:0030659;GO:0012506" "vesicle membrane" 0.956114957618977
33 0.888798531771476 2 10 "GO:0030660" "Golgi-associated vesicle membrane" 0.98207451294151
-51 0.820622600940604 2 11 "GO:0030662" "coated vesicle membrane" 0.956114957618977
262 0.295454396620953 2 9 "GO:0030667" "secretory granule membrane" 0.797666242740119
62 0.795045035247417 2 10 "GO:0030670;GO:0030666" "endocytic vesicle membrane" 0.956099174220366
117 0.303164394005462 2 44 "GO:0030684" "preribosome" 0.797666242740119
-93 0.710665246747134 4 9 "GO:0030686" "90S preribosome" 0.939183046937909
5 0.977448348121947 3 17 "GO:0030687" "preribosome, large subunit precursor" 0.993591369351034
466 0.100233440632246 2 7 "GO:0030863" "cortical cytoskeleton" 0.580952342226924
254 0.448495313554046 2 5 "GO:0030897" "HOPS complex" 0.870657269986586
-21 0.941986286102476 2 7 "GO:0030904" "retromer complex" 0.989701345269096
145 0.637063462388168 2 6 "GO:0030992" "intraciliary transport particle B" 0.920435358605676
-110 0.679251761965686 4 8 "GO:0031010" "ISWI-type complex" 0.920435358605676
-54 0.872729396917052 2 5 "GO:0031011;GO:0033202" "Ino80 complex" 0.975477377814914
-247 0.0529940852475163 2 35 "GO:0031012" "extracellular matrix" 0.482263011888732
252 0.341921351666432 2 8 "GO:0031080" "nuclear pore outer ring" 0.808394221839259
91 0.717484691528267 2 9 "GO:0031201" "SNARE complex" 0.940284321143608
9 0.963810093007836 2 16 "GO:0031225" "anchored component of membrane" 0.990288392266293
398 0.047452890475684 2 14 "GO:0031234;GO:0019897" "extrinsic component of plasma membrane" 0.467036343102785
-61 0.828754465561185 2 7 "GO:0031252" "cell leading edge" 0.956114957618977
-211 0.0970962811564763 3 35 "GO:0031253" "cell projection membrane" 0.576412843690828
-137 0.41439614601396 2 20 "GO:0031256" "leading edge membrane" 0.854501514641501
103 0.501330459950564 3 24 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.896790356471063
329 0.283165786616727 5 6 "GO:0031307;GO:0031306" "intrinsic component of mitochondrial outer membrane" 0.797666242740119
75 0.189287078602395 4 184 "GO:0031410;GO:0097708" "cytoplasmic vesicle" 0.734342138613162
-7 0.981930263522091 3 6 "GO:0031414" "N-terminal protein acetyltransferase complex" 0.994827948415289
100 0.659518652504958 3 11 "GO:0031430" "M band" 0.920435358605676
32 0.829282674304834 2 25 "GO:0031461" "cullin-RING ubiquitin ligase complex" 0.956114957618977
-277 0.365679825988764 3 6 "GO:0031463" "Cul3-RING ubiquitin ligase complex" 0.828069817921104
190 0.166068237538133 2 30 "GO:0031514" "motile cilium" 0.728981815446303
-543 0.0758845677969693 2 6 "GO:0031526" "brush border membrane" 0.532727807415668
-82 0.788934316021045 2 6 "GO:0031594" "neuromuscular junction" 0.956099174220366
-338 0.313704334287939 3 5 "GO:0031672" "A band" 0.80148218945157
442 0.0103860038060203 2 19 "GO:0031901" "early endosome membrane" 0.204440285444821
107 0.452344223500582 2 28 "GO:0031902" "late endosome membrane" 0.870657269986586
-70 0.479624864279768 4 58 "GO:0031965" "nuclear membrane" 0.888018313072442
223 0.0679608034747423 2 38 "GO:0031984;GO:0098791" "organelle subcompartment" 0.519023838090135
-355 0.289516179429918 2 5 "GO:0032039" "integrator complex" 0.797666242740119
266 0.133609032463505 3 18 "GO:0032040" "small-subunit processome" 0.669717229103211
-230 0.289244811402686 3 12 "GO:0032154;GO:0032155" "cell division site part" 0.797666242740119
459 0.0836614129299688 2 8 "GO:0032391" "photoreceptor connecting cilium" 0.539471869582902
117 0.726583339065515 2 5 "GO:0032420" "stereocilium" 0.940284321143608
127 0.461409384925605 5 19 "GO:0032580" "Golgi cisterna membrane" 0.871551060415032
-420 0.0769179187177702 2 10 "GO:0032587" "ruffle membrane" 0.532727807415668
-306 0.280038436823498 3 7 "GO:0032588" "trans-Golgi network membrane" 0.797666242740119
61 0.806625280634044 2 9 "GO:0032589" "neuron projection membrane" 0.956114957618977
97 0.655560978508013 6 12 "GO:0032592;GO:0098573" "integral component of mitochondrial membrane" 0.920435358605676
-263 0.224108687559987 2 12 "GO:0032993" "protein-DNA complex" 0.790723105164482
-108 0.632579335895731 3 11 "GO:0033116" "endoplasmic reticulum-Golgi intermediate compartment membrane" 0.920435358605676
-157 0.640621663922609 2 5 "GO:0033176" "proton-transporting V-type ATPase complex" 0.920435358605676
-207 0.361439530719046 2 11 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.824398478791447
-466 0.0162413236932201 3 15 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.262243810841878
17 0.96043168564059 2 5 "GO:0033179" "proton-transporting V-type ATPase, V0 domain" 0.990288392266293
-129 0.672919567931649 2 6 "GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.920435358605676
210 0.0748512454112277 2 41 "GO:0033267" "axon part" 0.532727807415668
82 0.742959708129371 2 9 "GO:0033643;GO:0044217" "other organism part" 0.942418509866718
-364 0.235002363893603 3 6 "GO:0033644;GO:0044218;GO:0044279;GO:0019013;GO:0044423" "other organism cell membrane" 0.797666242740119
282 0.175312267893001 4 13 "GO:0034399" "nuclear periphery" 0.734342138613162
-241 0.430971658481071 4 6 "GO:0034451" "centriolar satellite" 0.861943316962142
162 0.629330266176093 6 5 "GO:0034515" "proteasome storage granule" 0.920435358605676
32 0.917845173643491 2 6 "GO:0034518" "RNA cap binding complex" 0.989086002240162
126 0.656151470455193 3 7 "GO:0034663" "endoplasmic reticulum chaperone complex" 0.920435358605676
241 0.395445579817468 2 7 "GO:0034703;GO:0034702" "ion channel complex" 0.849980729032948
-300 0.0221778617787716 3 33 "GO:0034708" "methyltransferase complex" 0.319020011740791
-330 0.281699526310376 4 6 "GO:0034709" "methylosome" 0.797666242740119
-750 0.0143433676247774 2 6 "GO:0034719" "SMN-Sm protein complex" 0.253389172880503
-333 0.0339919556474182 4 23 "GO:0035097" "histone methyltransferase complex" 0.3739115121216
15 0.958687540196705 7 7 "GO:0035267;GO:0043189" "H4/H2A histone acetyltransferase complex" 0.990288392266293
-105 0.629407454295257 2 12 "GO:0035327" "transcriptionally active chromatin" 0.920435358605676
414 0.0811774346034507 4 10 "GO:0035861;GO:0090734" "site of DNA damage" 0.539471869582902
233 0.303184297278897 4 11 "GO:0035869" "ciliary transition zone" 0.797666242740119
27 0.934972269255926 2 5 "GO:0036038" "MKS complex" 0.989701345269096
66 0.67372516704412 2 23 "GO:0036064" "ciliary basal body" 0.920435358605676
618 0.0654438038886711 5 5 "GO:0036126;GO:0097729" "9+2 motile cilium" 0.519023838090135
22 0.83339550026259 2 54 "GO:0036464;GO:0035770" "ribonucleoprotein granule" 0.956114957618977
154 0.587810483453569 2 7 "GO:0042383" "sarcolemma" 0.920435358605676
69 0.821457092373099 2 6 "GO:0042405" "nuclear inclusion body" 0.956114957618977
99 0.471563305241088 5 30 "GO:0042470;GO:0048770" "pigment granule" 0.881823380800835
-25 0.941391368046565 2 5 "GO:0042575" "DNA polymerase complex" 0.989701345269096
128 0.651957364407682 2 7 "GO:0042641" "actomyosin" 0.920435358605676
-83 0.725318520779485 3 10 "GO:0042645;GO:0009295" "mitochondrial nucleoid" 0.940284321143608
63 0.24987711760225 2 203 "GO:0042995;GO:0120025" "cell projection" 0.797666242740119
59 0.454624441136902 2 92 "GO:0043005" "neuron projection" 0.870657269986586
-25 0.831918362245791 2 40 "GO:0043025;GO:0044297" "cell body" 0.956114957618977
-119 0.721877830673458 2 5 "GO:0043073" "germ cell nucleus" 0.940284321143608
-336 0.205264415672896 4 8 "GO:0043186" "P granule" 0.752636190800619
140 0.596579179672933 2 8 "GO:0043195" "terminal bouton" 0.920435358605676
117 0.702438224082859 4 6 "GO:0043197;GO:0044309" "dendritic spine" 0.934735219506025
-141 0.673679739396678 3 5 "GO:0043198" "dendritic shaft" 0.920435358605676
-273 0.189619346278997 4 13 "GO:0043202;GO:0005775" "lysosomal lumen" 0.734342138613162
221 0.352090214779742 2 10 "GO:0043204" "perikaryon" 0.817899008246109
-291 0.0693882136484137 2 22 "GO:0043209" "myelin sheath" 0.519023838090135
222 0.223237712454975 2 17 "GO:0043235" "receptor complex" 0.790723105164482
218 0.441788578855481 2 7 "GO:0043292" "contractile fiber" 0.870657269986586
-92 0.764882170859736 2 6 "GO:0043596;GO:0005657" "replication fork" 0.942418509866718
129 0.673517167362242 3 6 "GO:0044306" "neuron projection terminus" 0.920435358605676
-472 3.30774679255118e-11 2 116 "GO:0044391" "ribosomal subunit" 1.23709730041414e-08
52 0.347457233174924 3 195 "GO:0044427" "chromosomal part" 0.812181282546385
-110 0.0168284798401205 2 298 "GO:0044429" "mitochondrial part" 0.262243810841878
88 0.0487420055133803 2 321 "GO:0044430" "cytoskeletal part" 0.467423334923185
104 0.122819891288453 3 129 "GO:0044431" "Golgi apparatus part" 0.656209133455449
51 0.343675618375514 2 209 "GO:0044432" "endoplasmic reticulum part" 0.808394221839259
144 0.0432027145711903 2 116 "GO:0044433" "cytoplasmic vesicle part" 0.438963851470087
-82 0.634326910907757 4 19 "GO:0044439;GO:0044438" "peroxisomal part" 0.920435358605676
159 0.0867816688945651 2 67 "GO:0044440;GO:0010008" "endosomal part" 0.540939069442789
161 0.0826349070255932 2 67 "GO:0044441" "ciliary part" 0.539471869582902
-457 2.11818874888191e-09 4 100 "GO:0044445" "cytosolic part" 3.96101296040917e-07
193 0.439705556817906 2 9 "GO:0044447" "axoneme part" 0.870657269986586
7 0.968257190353498 4 18 "GO:0044448" "cell cortex part" 0.992132025184132
16 0.890169144083347 2 40 "GO:0044449" "contractile fiber part" 0.98207451294151
6 0.906888656750316 2 202 "GO:0044451" "nucleoplasm part" 0.988852354590724
147 0.358608515426422 2 22 "GO:0044452" "nucleolar part" 0.824398478791447
87 0.235244215238981 2 109 "GO:0044454" "nuclear chromosome part" 0.797666242740119
-354 0.000148951007333426 3 66 "GO:0044455" "mitochondrial membrane part" 0.00464230639522511
88 0.338450818948742 1 68 "GO:0044456" "synapse part" 0.808394221839259
41 0.428082541124982 2 225 "GO:0044459" "plasma membrane part" 0.860768120326577
-414 0.0806989777850326 2 10 "GO:0044815" "DNA packaging complex" 0.539471869582902
-89 0.723156996492129 2 9 "GO:0045111" "intermediate filament cytoskeleton" 0.940284321143608
192 0.240831489521022 4 21 "GO:0045121;GO:0098857;GO:0098589" "membrane region" 0.797666242740119
-235 0.374815035691046 2 8 "GO:0045171" "intercellular bridge" 0.828069817921104
-30 0.873756474780738 2 16 "GO:0045177" "apical part of cell" 0.975477377814914
203 0.122537325586737 1 33 "GO:0045202" "synapse" 0.656209133455449
86 0.627262043302649 2 18 "GO:0045211;GO:0097060" "synaptic membrane" 0.920435358605676
-395 0.197179789477979 3 6 "GO:0045240;GO:0045239" "tricarboxylic acid cycle enzyme complex" 0.742511897824458
-934 0.000989446845709599 2 7 "GO:0045261" "proton-transporting ATP synthase complex, catalytic core F(1)" 0.0246702080196927
-392 0.200517918931204 3 6 "GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.742511897824458
-718 0.00013083366672718 3 16 "GO:0045277;GO:0070069" "cytochrome complex" 0.00444834466872412
-37 0.896061123489418 3 7 "GO:0045335" "phagocytic vesicle" 0.982776716085168
