"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
114 0.618434568536539 3 52 "GO:0001518;GO:0034706" "voltage-gated sodium channel complex" 0.871359512231951
347 0.503342064466076 6 10 "GO:0001669" "acrosomal vesicle" 0.823550895015404
-264 0.718490043169112 5 5 "GO:0001673;GO:0043073" "germ cell nucleus" 0.906371060204713
28 0.952406975836921 4 12 "GO:0001726" "ruffle" 0.97898823686955
104 0.787710309207671 3 18 "GO:0001750" "photoreceptor outer segment" 0.938422001220292
57 0.582068556980613 1 263 "GO:0005576" "extracellular region" 0.846119524882414
428 0.347296288728993 4 13 "GO:0005604;GO:0062023" "basement membrane" 0.714657786366139
136 0.363770102355979 2 123 "GO:0005615" "extracellular space" 0.722289471581372
379 0.0366512576749464 2 83 "GO:0005618;GO:0030312" "cell wall" 0.223623535355494
637 0.341144733944408 2 6 "GO:0005619;GO:0031160" "ascospore wall" 0.709775062566801
-247 0.17825027055809 2 81 "GO:0005622" "intracellular" 0.54568775133324
985 0.0376099085196505 2 12 "GO:0005628" "prospore membrane" 0.223623535355494
318 0.181246225234945 2 48 "GO:0005635" "nuclear envelope" 0.54568775133324
268 0.321385426986268 2 37 "GO:0005643" "nuclear pore" 0.685794570653851
-136 0.243639350872195 2 204 "GO:0005654" "nucleoplasm" 0.613788013217638
-913 0.213149744103931 2 5 "GO:0005656;GO:0036387" "nuclear pre-replicative complex" 0.600298994691433
-134 0.841869517607496 4 6 "GO:0005663" "DNA replication factor C complex" 0.953943579427729
-83 0.901521901853346 2 6 "GO:0005666" "RNA polymerase III complex" 0.96142338808541
-240 0.597975816187689 2 13 "GO:0005667" "transcription factor complex" 0.853145678992356
338 0.536268048783261 2 9 "GO:0005680" "anaphase-promoting complex" 0.833109009468767
-426 0.00362616158615412 2 128 "GO:0005681" "spliceosomal complex" 0.0497464042600518
103 0.877496039296745 2 6 "GO:0005684" "U2-type spliceosomal complex" 0.96142338808541
-1055 0.0886804195775844 2 7 "GO:0005685" "U1 snRNP" 0.367270794288298
-1148 0.11735279082851 2 5 "GO:0005686" "U2 snRNP" 0.437030331312389
-53 0.784906199359308 4 72 "GO:0005694" "chromosome" 0.938422001220292
120 0.236327997125271 2 275 "GO:0005730" "nucleolus" 0.613788013217638
-350 0.522542462941234 3 9 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.828967836427608
7 0.930471502742614 4 508 "GO:0005739" "mitochondrion" 0.969110694463619
113 0.700737100530818 2 31 "GO:0005741" "mitochondrial outer membrane" 0.891662571400084
91 0.883594203358935 3 7 "GO:0005750;GO:0045275;GO:0070069;GO:0098803" "cytochrome complex" 0.96142338808541
296 0.254311958631603 4 40 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.617407022420845
198 0.284062357625631 3 80 "GO:0005759" "mitochondrial matrix" 0.649496744779438
-264 0.0594336399347426 2 140 "GO:0005764;GO:0000323" "lytic vacuole" 0.303387999201767
277 0.185278863674338 2 62 "GO:0005765" "lysosomal membrane" 0.546422973298834
-61 0.663761543500858 2 142 "GO:0005768" "endosome" 0.888026681431008
-275 0.316323596928027 3 36 "GO:0005769" "early endosome" 0.685794570653851
90 0.713580364666701 3 45 "GO:0005770" "late endosome" 0.905380867308329
-513 0.443981415653434 7 6 "GO:0005771" "multivesicular body" 0.805404303602717
-273 0.0101611285727693 4 249 "GO:0005773" "vacuole" 0.0929319884051192
189 0.0641529425419512 3 271 "GO:0005774;GO:0044437" "vacuolar part" 0.316439795235018
-364 0.203244798425979 5 33 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.584112008107231
43 0.927017120539256 5 12 "GO:0005779;GO:0031231" "intrinsic component of peroxisomal membrane" 0.969085146376607
-237 0.648360206169868 5 10 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.888026681431008
98 0.254557337262353 3 389 "GO:0005783" "endoplasmic reticulum" 0.617407022420845
-42 0.79287378310489 3 107 "GO:0005788" "endoplasmic reticulum lumen" 0.938422001220292
428 2.41596844137277e-06 4 347 "GO:0005789" "endoplasmic reticulum membrane" 0.000353536715254215
433 0.455441112497096 2 8 "GO:0005791" "rough endoplasmic reticulum" 0.816996012708169
-307 0.500292471757672 3 13 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.823550895015404
128 0.135832278013351 4 392 "GO:0005794" "Golgi apparatus" 0.469530472817804
489 0.233022248244684 2 16 "GO:0005795" "Golgi stack" 0.60890932725843
-186 0.799696305779327 4 5 "GO:0005796" "Golgi lumen" 0.938422001220292
343 0.451462870214083 2 13 "GO:0005798" "Golgi-associated vesicle" 0.815605761415566
665 0.25181490241138 3 8 "GO:0005801" "cis-Golgi network" 0.617407022420845
-30 0.894925873770536 2 53 "GO:0005802" "trans-Golgi network" 0.96142338808541
445 0.125551054320124 2 32 "GO:0005811" "lipid droplet" 0.448357276184862
-403 0.00209775395857377 5 161 "GO:0005813" "centrosome" 0.0354197687620725
-232 0.291383667271958 3 56 "GO:0005814" "centriole" 0.662053775973692
-316 0.00422194581259603 4 230 "GO:0005815" "microtubule organizing center" 0.0529552631922759
-122 0.546990620692154 2 66 "GO:0005819" "spindle" 0.833109009468767
-897 0.121801327011369 2 8 "GO:0005826;GO:0070938" "contractile ring" 0.441907293867694
-477 0.357622945167296 2 10 "GO:0005839" "proteasome core complex" 0.720167307011206
-99 0.496754175382887 3 130 "GO:0005840" "ribosome" 0.823550895015404
-543 0.185460189115094 2 16 "GO:0005844" "polysome" 0.546422973298834
644 0.156900748791694 6 13 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 0.514025587459356
682 0.0778774352392825 5 18 "GO:0005849" "mRNA cleavage factor complex" 0.34188194070045
-367 0.000555686589081966 2 248 "GO:0005856" "cytoskeleton" 0.014509314783615
226 0.500527788481308 2 24 "GO:0005858;GO:0044447" "axoneme part" 0.823550895015404
129 0.776258075426248 3 13 "GO:0005865;GO:0036379" "striated muscle thin filament" 0.93620136019814
-392 0.527587081910419 6 7 "GO:0005868" "cytoplasmic dynein complex" 0.833109009468767
-375 0.609235085512096 3 5 "GO:0005869" "dynactin complex" 0.862755492063904
-536 0.00156776998758918 3 95 "GO:0005871" "kinesin complex" 0.0307743504867677
-337 0.0016272632326912 2 246 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular fiber" 0.0307743504867677
-354 0.00535203011818746 2 171 "GO:0005875" "microtubule associated complex" 0.0587385305471074
-288 0.422003103045024 3 21 "GO:0005876" "spindle microtubule" 0.778400681667082
-23 0.958917862992953 3 14 "GO:0005881" "cytoplasmic microtubule" 0.97898823686955
-1048 0.0341025969533615 2 11 "GO:0005884" "actin filament" 0.220028034884547
611 0.361490483736418 2 6 "GO:0005885" "Arp2/3 protein complex" 0.722289471581372
-23 0.845293969014548 2 207 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.953943579427729
-317 0.0821725694908873 2 82 "GO:0005891;GO:0034704" "calcium channel complex" 0.353664294181368
-250 0.666791887572247 3 8 "GO:0005901;GO:0044853" "plasma membrane raft" 0.888026681431008
-934 0.20289686612026 2 5 "GO:0005902" "microvillus" 0.584112008107231
-24 0.95872215247475 2 13 "GO:0005905" "clathrin-coated pit" 0.97898823686955
-185 0.147796607562686 2 169 "GO:0005911" "cell-cell junction" 0.50296674976759
7 0.982388195951564 2 25 "GO:0005912;GO:0070161" "adherens junction" 0.991008959635078
-306 0.485548384457279 3 14 "GO:0005923;GO:0070160" "tight junction" 0.823550895015404
126 0.738338294261884 3 19 "GO:0005924;GO:0030055;GO:0005925" "cell-substrate adherens junction" 0.918216745555148
-453 0.000262014550489852 2 180 "GO:0005929" "cilium" 0.00821602769036036
37 0.897231948301053 2 33 "GO:0005930" "axoneme" 0.96142338808541
-335 0.0749594134488268 3 77 "GO:0005938;GO:0099568" "cytoplasmic region" 0.333862075747123
658 0.228959869061365 3 9 "GO:0005942" "phosphatidylinositol 3-kinase complex" 0.605502304324935
46 0.94486283477639 3 6 "GO:0005947;GO:0030062" "mitochondrial alpha-ketoglutarate dehydrogenase complex" 0.973696677152195
-617 0.0336448431830771 2 32 "GO:0005952" "cAMP-dependent protein kinase complex" 0.220028034884547
-870 0.0245132731099158 3 18 "GO:0008021;GO:0070382" "exocytic vesicle" 0.179355448254217
1442 0.0492464080921199 2 5 "GO:0008023" "transcription elongation factor complex" 0.266903372252354
1069 0.110344906897753 4 6 "GO:0008074" "guanylate cyclase complex, soluble" 0.417598397656151
-297 0.225961287469382 5 45 "GO:0008076;GO:0034705" "potassium channel complex" 0.601193970903386
657 0.257304919559867 2 8 "GO:0008180" "COP9 signalosome" 0.620642086191108
-165 0.805984995250791 4 6 "GO:0008250" "oligosaccharyltransferase complex" 0.938422001220292
-1795 0.00378945996350242 4 7 "GO:0008278" "cohesin complex" 0.0504113007265928
395 0.424235775983021 3 11 "GO:0008287;GO:1903293" "phosphatase complex" 0.779244793542034
615 0.0666704557571401 2 24 "GO:0009277" "fungal-type cell wall" 0.321228521160555
-1384 0.0255702867746871 3 7 "GO:0009279" "cell outer membrane" 0.181054127323994
-411 0.332091235687974 1 15 "GO:0009295" "nucleoid" 0.699700945753516
1387 0.0252672885056403 3 7 "GO:0009331" "glycerol-3-phosphate dehydrogenase complex" 0.181054127323994
1152 0.0350841969064198 5 9 "GO:0009501" "amyloplast" 0.220028034884547
-612 0.238141902501879 4 10 "GO:0009505" "plant-type cell wall" 0.613788013217638
-81 0.636805371106877 2 93 "GO:0009506" "plasmodesma" 0.881885040744224
371 9.89296344655114e-06 4 412 "GO:0009507;GO:0009536" "plastid" 0.00086860219060719
-187 0.799063638844427 2 5 "GO:0009514" "glyoxysome" 0.938422001220292
4 0.984236688840305 3 60 "GO:0009521;GO:0009523" "photosystem" 0.991008959635078
-1741 0.0026725144556522 2 8 "GO:0009522" "photosystem I" 0.0404563395183212
62 0.887754077560915 4 14 "GO:0009524" "phragmoplast" 0.96142338808541
943 0.00117764044053542 3 32 "GO:0009534;GO:0031976" "chloroplast thylakoid" 0.0258492076697525
255 0.0376950834084432 3 185 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 0.223623535355494
557 0.239960019947849 2 12 "GO:0009543;GO:0031978" "chloroplast thylakoid lumen" 0.613788013217638
559 0.000912334302978126 2 96 "GO:0009570;GO:0009532" "chloroplast stroma" 0.0210797241582841
707 0.00266022341819709 3 49 "GO:0009579" "thylakoid" 0.0404563395183212
-327 0.656047991547446 2 5 "GO:0009654" "photosystem II oxygen evolving complex" 0.888026681431008
-19 0.965209563554669 4 15 "GO:0009705" "plant-type vacuole membrane" 0.982058240736585
120 0.725092578629441 2 23 "GO:0009706;GO:0009528" "plastid inner membrane" 0.909473262909499
-85 0.88304028493434 3 8 "GO:0009707;GO:0009527" "plastid outer membrane" 0.96142338808541
-311 0.569767063493184 2 9 "GO:0009897" "external side of plasma membrane" 0.841383611588479
143 0.845141476854149 2 5 "GO:0009898" "cytoplasmic side of plasma membrane" 0.953943579427729
-116 0.758207832812887 3 19 "GO:0009925" "basal plasma membrane" 0.924592329457937
474 0.0045612841996659 2 98 "GO:0009941;GO:0009526" "chloroplast envelope" 0.0547987523079285
-247 0.133339212690318 2 101 "GO:0009986" "cell surface" 0.464570748976584
-1 0.994017743734437 2 150 "GO:0010008;GO:0044440" "endosomal part" 0.995091182471985
1092 0.000107477318372699 3 34 "GO:0010287" "plastoglobule" 0.00429312598145124
1450 0.0192968013984725 2 7 "GO:0010319" "stromule" 0.148619224805779
-188 0.530229884736933 2 30 "GO:0010494" "cytoplasmic stress granule" 0.833109009468767
108 0.742121933566534 2 25 "GO:0012505" "endomembrane system" 0.919331068889269
54 0.921280982894253 2 9 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.969085146376607
-607 0.0367819957877013 2 32 "GO:0014069;GO:0099572" "postsynaptic specialization" 0.223623535355494
-364 0.117470567414264 4 50 "GO:0014704;GO:0044291;GO:0030315;GO:0043034" "intercalated disc" 0.437030331312389
577 0.222981678275663 2 12 "GO:0015030" "Cajal body" 0.600545747012369
-411 0.177605945949808 2 29 "GO:0015629" "actin cytoskeleton" 0.54568775133324
-224 0.470408335341899 2 28 "GO:0015630" "microtubule cytoskeleton" 0.823550895015404
-482 0.0544707104692061 2 43 "GO:0015934" "large ribosomal subunit" 0.284674308285494
-295 0.318367537926741 2 31 "GO:0015935" "small ribosomal subunit" 0.685794570653851
674 0.244827030231822 3 8 "GO:0016234" "inclusion body" 0.613788013217638
474 0.518089281915778 2 5 "GO:0016272" "prefoldin complex" 0.827058890040096
-428 0.523061710001019 3 6 "GO:0016281" "eukaryotic translation initiation factor 4F complex" 0.828967836427608
650 0.0842829991530036 3 19 "GO:0016282;GO:0070993;GO:0033290;GO:0005852" "translation preinitiation complex" 0.355771506040082
-168 0.347304485023117 3 85 "GO:0016323" "basolateral plasma membrane" 0.714657786366139
-315 0.129052605046104 2 63 "GO:0016324" "apical plasma membrane" 0.453807928684237
81 0.835176215693895 4 18 "GO:0016363" "nuclear matrix" 0.953943579427729
241 0.501099551115782 2 21 "GO:0016459" "myosin complex" 0.823550895015404
-1121 0.0940026318234905 2 6 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.37177617450912
-603 0.00612082446378869 4 56 "GO:0016529;GO:0014731" "sarcoplasmic reticulum" 0.0639771890381723
-598 0.371942817640346 2 6 "GO:0016592" "mediator complex" 0.725701764196053
-277 0.559297875826086 2 12 "GO:0016605" "PML body" 0.836916466400635
114 0.514876200382017 2 89 "GO:0016607;GO:0016604" "nuclear body" 0.824929386743451
1467 0.0283947857358686 2 6 "GO:0017119" "Golgi transport complex" 0.197862078381688
-189 0.744205468080642 2 8 "GO:0019005" "SCF ubiquitin ligase complex" 0.919331068889269
266 0.667857608007857 2 7 "GO:0019773" "proteasome core complex, alpha-subunit complex" 0.888026681431008
-146 0.677147171365131 2 22 "GO:0019897" "extrinsic component of plasma membrane" 0.888026681431008
-98 0.673944827301696 2 50 "GO:0019898" "extrinsic component of membrane" 0.888026681431008
823 0.261584692863123 2 5 "GO:0020005" "symbiont-containing vacuole membrane" 0.624106957428864
-893 0.00400850383297015 3 28 "GO:0022625" "cytosolic large ribosomal subunit" 0.0517568583139381
-437 0.18390190165177 2 25 "GO:0022626" "cytosolic ribosome" 0.546422973298834
-970 0.0100344547793477 3 19 "GO:0022627" "cytosolic small ribosomal subunit" 0.0929319884051192
65 0.873236148499417 2 16 "GO:0030014" "CCR4-NOT complex" 0.96142338808541
-315 0.667726795698214 2 5 "GO:0030015" "CCR4-NOT core complex" 0.888026681431008
-1224 0.0183434354816993 4 10 "GO:0030016;GO:0043292" "myofibril" 0.143799431722607
-393 0.557006851048194 2 6 "GO:0030017" "sarcomere" 0.836916466400635
281 0.493912670072573 4 16 "GO:0030027" "lamellipodium" 0.823550895015404
-237 0.0235402578498535 1 256 "GO:0030054" "cell junction" 0.175155477899757
270 0.276344766984988 2 44 "GO:0030076" "light-harvesting complex" 0.645294429289413
13 0.968636032434946 2 25 "GO:0030117" "membrane coat" 0.982058240736585
-339 0.512997432684525 3 10 "GO:0030118" "clathrin coat" 0.824929386743451
-171 0.686045169497302 3 15 "GO:0030120" "vesicle coat" 0.89104683257194
-114 0.844348080377334 4 8 "GO:0030126" "COPI vesicle coat" 0.953943579427729
301 0.436036876723032 2 18 "GO:0030131;GO:0030119" "AP-type membrane coat adaptor complex" 0.794274642661457
-371 0.497318432590693 2 9 "GO:0030132;GO:0030122" "AP-2 adaptor complex" 0.823550895015404
-375 0.203574344511176 2 31 "GO:0030133" "transport vesicle" 0.584112008107231
-965 0.149336922299156 2 6 "GO:0030134" "COPII-coated ER to Golgi transport vesicle" 0.504299299148688
150 0.661040828501155 3 23 "GO:0030135" "coated vesicle" 0.888026681431008
422 0.319893583606975 6 15 "GO:0030136" "clathrin-coated vesicle" 0.685794570653851
275 0.384171604947564 2 27 "GO:0030141" "secretory granule" 0.735877244260749
609 0.293272855287608 5 8 "GO:0030173;GO:0031228" "intrinsic component of Golgi membrane" 0.662053775973692
-952 0.194130605280394 5 5 "GO:0030175" "filopodium" 0.568155571453953
578 0.014016889497957 5 49 "GO:0030176;GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 0.120655186070649
-129 0.565103294122071 5 54 "GO:0030286" "dynein complex" 0.838109277431045
-401 0.0289377241594931 3 81 "GO:0030424" "axon" 0.198494701656523
-312 0.075033392066828 2 89 "GO:0030425" "dendrite" 0.333862075747123
287 0.411764384527023 3 22 "GO:0030426" "growth cone" 0.767249347076391
277 0.340761601516228 2 32 "GO:0030427" "site of polarized growth" 0.709775062566801
-420 0.49787011623943 2 7 "GO:0030428" "cell septum" 0.823550895015404
436 0.481769962570384 5 7 "GO:0030479;GO:0061645" "endocytic patch" 0.823550895015404
-372 0.129216380604851 2 45 "GO:0030496" "midbody" 0.453807928684237
-489 0.144541428677077 4 24 "GO:0030532;GO:0120114" "Sm-like protein family complex" 0.495731931165913
166 0.573060819737939 5 31 "GO:0030658" "transport vesicle membrane" 0.841383611588479
-97 0.561721827670819 3 97 "GO:0030659;GO:0012506" "vesicle membrane" 0.836916466400635
58 0.898286749387389 4 13 "GO:0030660" "Golgi-associated vesicle membrane" 0.96142338808541
298 0.467680332109964 5 16 "GO:0030662" "coated vesicle membrane" 0.823550895015404
902 0.218925292557741 2 5 "GO:0030665" "clathrin-coated vesicle membrane" 0.600545747012369
694 0.180834064703043 5 10 "GO:0030667" "secretory granule membrane" 0.54568775133324
-673 0.0909908857012011 6 17 "GO:0030670;GO:0030666" "endocytic vesicle membrane" 0.367764313671729
445 0.294132343302505 2 15 "GO:0030672;GO:0099501" "synaptic vesicle membrane" 0.662053775973692
-526 0.0662514060579811 4 33 "GO:0030673;GO:0032589;GO:0030863" "cortical cytoskeleton" 0.321228521160555
-118 0.860626001907747 2 6 "GO:0030687" "preribosome, large subunit precursor" 0.96142338808541
-326 0.656245248798833 4 5 "GO:0030864" "cortical actin cytoskeleton" 0.888026681431008
349 0.602540456302112 2 6 "GO:0030897" "HOPS complex" 0.856036441154133
-63 0.931582489894413 2 5 "GO:0030904" "retromer complex" 0.969110694463619
-1366 0.0124829846204722 2 9 "GO:0030992" "intraciliary transport particle B" 0.109600604967746
105 0.775723624833632 2 20 "GO:0031012" "extracellular matrix" 0.93620136019814
741 0.312276688861064 2 5 "GO:0031080" "nuclear pore outer ring" 0.685794570653851
-434 0.427715856121022 3 9 "GO:0031164" "contractile vacuolar membrane" 0.782363586821369
336 0.398118799303975 2 17 "GO:0031201" "SNARE complex" 0.750004089670946
710 0.0834683323156675 3 16 "GO:0031225" "anchored component of membrane" 0.355753377539593
83 0.866848096394345 3 11 "GO:0031234" "extrinsic component of cytoplasmic side of plasma membrane" 0.96142338808541
505 0.267023920803163 4 13 "GO:0031248;GO:1902493" "acetyltransferase complex" 0.633640547203181
-195 0.283075180955819 2 83 "GO:0031253" "cell projection membrane" 0.649496744779438
-489 0.0703449103891614 3 37 "GO:0031256" "leading edge membrane" 0.328525698519594
135 0.591585049926851 3 43 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.851494547271763
441 0.510011343080138 4 6 "GO:0031310;GO:0071627;GO:0031166;GO:0071628" "intrinsic component of vacuolar membrane" 0.824929386743451
-609 0.218355542245266 3 11 "GO:0031312" "extrinsic component of organelle membrane" 0.600545747012369
-579 0.387215588665679 4 6 "GO:0031313" "extrinsic component of endosome membrane" 0.735877244260749
-850 0.246472257477797 3 5 "GO:0031371" "ubiquitin conjugating enzyme complex" 0.613788013217638
-59 0.548447616711785 3 298 "GO:0031410;GO:0097708" "intracellular vesicle" 0.833109009468767
895 0.181481575614244 2 6 "GO:0031414" "N-terminal protein acetyltransferase complex" 0.54568775133324
-282 0.249989145976941 2 45 "GO:0031430" "M band" 0.616546264516163
-141 0.557547633768739 2 47 "GO:0031461" "cullin-RING ubiquitin ligase complex" 0.836916466400635
-583 0.121451505246322 5 19 "GO:0031463" "Cul3-RING ubiquitin ligase complex" 0.441907293867694
-606 0.00146573072595102 4 75 "GO:0031514" "motile cilium" 0.0306407518424999
-80 0.90448259516919 3 6 "GO:0031526" "brush border membrane" 0.96142338808541
-1950 0.00783690762937812 2 5 "GO:0031588" "nucleotide-activated protein kinase complex" 0.0800093592859766
-779 0.00168242462797819 2 44 "GO:0031594" "neuromuscular junction" 0.0307743504867677
293 0.636095823025706 2 7 "GO:0031616" "spindle pole centrosome" 0.881885040744224
-253 0.578364095927713 2 13 "GO:0031672" "A band" 0.846119524882414
153 0.804889693690269 2 7 "GO:0031674" "I band" 0.938422001220292
376 0.218134280250384 6 29 "GO:0031901" "early endosome membrane" 0.600545747012369
105 0.679674179865191 6 42 "GO:0031902" "late endosome membrane" 0.888026681431008
561 0.333115028843929 2 8 "GO:0031941;GO:0071458;GO:0071556;GO:0002133" "integral component of cytoplasmic side of endoplasmic reticulum membrane" 0.699700945753516
641 0.00056186412601698 4 79 "GO:0031965" "nuclear membrane" 0.014509314783615
408 0.00037177741937655 2 212 "GO:0031966;GO:0005743;GO:0019866" "mitochondrial membrane" 0.010880685807087
407 0.00295141544510488 3 147 "GO:0031967;GO:0031975" "organelle envelope" 0.0431890460133681
-150 0.535519005150297 3 46 "GO:0031968;GO:0019867" "outer membrane" 0.833109009468767
201 0.232196059618351 3 97 "GO:0031969;GO:0042170" "plastid membrane" 0.60890932725843
618 0.0921505113983831 3 20 "GO:0031977" "thylakoid lumen" 0.367764313671729
-78 0.247472615807567 3 662 "GO:0031982" "vesicle" 0.613788013217638
296 0.0535934522007963 3 117 "GO:0031984" "organelle subcompartment" 0.283464162845176
-334 0.541242524445658 2 9 "GO:0031985" "Golgi cisterna" 0.833109009468767
-35 0.902966089080985 4 33 "GO:0032040;GO:0030684" "preribosome" 0.96142338808541
-104 0.867044909776731 3 7 "GO:0032133" "chromosome passenger complex" 0.96142338808541
-174 0.670813415532813 2 16 "GO:0032153" "cell division site" 0.888026681431008
-228 0.733057529813134 2 6 "GO:0032154" "cleavage furrow" 0.914239362465812
-628 0.152389902646622 2 14 "GO:0032155" "cell division site part" 0.506028703849997
102 0.86922406302618 2 7 "GO:0032300" "mismatch repair complex" 0.96142338808541
-1129 0.0389184328508356 4 9 "GO:0032391" "photoreceptor connecting cilium" 0.227802560286891
156 0.75179921123291 5 11 "GO:0032541;GO:0071782;GO:0098827;GO:0033017" "cortical endoplasmic reticulum" 0.919331068889269
-114 0.769262304719178 2 18 "GO:0032580" "Golgi cisterna membrane" 0.932889922021324
-90 0.884140691374623 2 7 "GO:0032586" "protein storage vacuole membrane" 0.96142338808541
-130 0.801551751111229 3 10 "GO:0032587" "ruffle membrane" 0.938422001220292
287 0.544330565208022 6 12 "GO:0032592;GO:0098573" "integral component of mitochondrial membrane" 0.833109009468767
-242 0.696297559393874 3 7 "GO:0032593" "insulin-responsive compartment" 0.891662571400084
-873 0.0466615009985641 3 14 "GO:0032839;GO:0120111;GO:0032838" "plasma membrane bounded cell projection cytoplasm" 0.262620499209867
-976 0.00954125629762567 2 19 "GO:0032993" "protein-DNA complex" 0.0929319884051192
-767 0.295586651687571 5 5 "GO:0033018" "sarcoplasmic reticulum lumen" 0.662053775973692
384 0.365258001574179 4 15 "GO:0033116" "endoplasmic reticulum-Golgi intermediate compartment membrane" 0.722289471581372
342 0.419327735872632 3 15 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.776729434802048
-160 0.655022889395019 3 21 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.888026681431008
708 0.222384533608634 2 8 "GO:0033179" "proton-transporting V-type ATPase, V0 domain" 0.600545747012369
-283 0.0699516071917249 2 112 "GO:0033267" "axon part" 0.328525698519594
330 0.594081886519912 4 7 "GO:0033620;GO:0034064" "Tor2-Mei2-Ste11 complex" 0.852293948307978
-47 0.927142964642767 2 10 "GO:0033643;GO:0044217" "other organism part" 0.969085146376607
163 0.731442370475944 2 12 "GO:0034045" "phagophore assembly site membrane" 0.914239362465812
-50 0.892747415773303 3 20 "GO:0034081" "polyketide synthase complex" 0.96142338808541
904 0.177043444637888 2 6 "GO:0034388" "Pwp2p-containing subcomplex of 90S preribosome" 0.54568775133324
117 0.840801671026622 2 8 "GO:0034399" "nuclear periphery" 0.953943579427729
640 0.382881890135953 2 5 "GO:0034451" "centriolar satellite" 0.735877244260749
490 0.464569173145088 3 6 "GO:0034464" "BBSome" 0.823550895015404
-1195 0.0743733969089847 2 6 "GO:0034518" "RNA cap binding complex" 0.333862075747123
-35 0.939566625141209 2 13 "GO:0034707" "chloride channel complex" 0.970517055145861
-521 0.315050232213714 3 10 "GO:0034708" "methyltransferase complex" 0.685794570653851
549 0.412462063576374 2 6 "GO:0035032" "phosphatidylinositol 3-kinase complex, class III" 0.767249347076391
